Cód. Bairros,Nome Bairros,Dia,Mês,Pluviometria
CL,Campo Limpo,13,3,30.4
CS,Capela do Socorro,13,3,9.8
IP,Ipiranga,13,3,36.2
JA,Jabaquara,13,3,42.3
SA,Santo Amaro,13,3,36.6
VM,Vila Mariana,13,3,32.1
PA,Parelheiros ,13,3,1.7000000000000002
AD,Cidade Ademar,13,3,24.4
MB,M Boi Mirim,14,3,1.3
CL,Campo Limpo,14,3,5.3
CS,Capela do Socorro,14,3,2.0
IP,Ipiranga,14,3,3.8
JA,Jabaquara,14,3,2.8
SA,Santo Amaro,14,3,2.6
VM,Vila Mariana,14,3,4.5
PA,Parelheiros ,14,3,2.1
AD,Cidade Ademar,14,3,1.4
MB,M Boi Mirim,15,3,0.2
CL,Campo Limpo,15,3,0.0
CS,Capela do Socorro,15,3,0.0
IP,Ipiranga,15,3,0.0
JA,Jabaquara,15,3,0.0
SA,Santo Amaro,15,3,0.0
VM,Vila Mariana,15,3,0.0
PA,Parelheiros ,15,3,0.6
AD,Cidade Ademar,15,3,0.0
MB,M Boi Mirim,16,3,0.0
CL,Campo Limpo,16,3,0.0
CS,Capela do Socorro,16,3,0.0
IP,Ipiranga,16,3,0.0
JA,Jabaquara,16,3,0.0
SA,Santo Amaro,16,3,0.0
VM,Vila Mariana,16,3,0.0
PA,Parelheiros ,16,3,0.0
AD,Cidade Ademar,16,3,0.0
MB,M Boi Mirim,17,3,0.0
CL,Campo Limpo,17,3,0.0
CS,Capela do Socorro,17,3,0.0
IP,Ipiranga,17,3,0.0
JA,Jabaquara,17,3,0.0
SA,Santo Amaro,17,3,0.0
VM,Vila Mariana,17,3,0.0
PA,Parelheiros ,17,3,0.0
AD,Cidade Ademar,17,3,0.0
MB,M Boi Mirim,18,3,0.0
CL,Campo Limpo,18,3,0.0
CS,Capela do Socorro,18,3,0.0
IP,Ipiranga,18,3,0.0
JA,Jabaquara,18,3,0.0
SA,Santo Amaro,18,3,0.0
VM,Vila Mariana,18,3,0.0
PA,Parelheiros ,18,3,0.0
AD,Cidade Ademar,18,3,0.0
MB,M Boi Mirim,19,3,0.1
CL,Campo Limpo,19,3,0.0
CS,Capela do Socorro,19,3,0.0
IP,Ipiranga,19,3,0.0
JA,Jabaquara,19,3,0.0
SA,Santo Amaro,19,3,0.0
VM,Vila Mariana,19,3,0.0
PA,Parelheiros ,19,3,0.0
AD,Cidade Ademar,19,3,0.0
MB,M Boi Mirim,20,3,0.1
CL,Campo Limpo,20,3,0.5
CS,Capela do Socorro,20,3,0.5
IP,Ipiranga,20,3,0.0
JA,Jabaquara,20,3,0.0
SA,Santo Amaro,20,3,0.6
VM,Vila Mariana,20,3,0.3
PA,Parelheiros ,20,3,0.0
AD,Cidade Ademar,20,3,0.2
MB,M Boi Mirim,21,3,0.0
CL,Campo Limpo,21,3,0.0
CS,Capela do Socorro,21,3,0.0
IP,Ipiranga,21,3,0.0
JA,Jabaquara,21,3,0.0
SA,Santo Amaro,21,3,0.0
VM,Vila Mariana,21,3,0.0
PA,Parelheiros ,21,3,0.0
AD,Cidade Ademar,21,3,0.0
MB,M Boi Mirim,22,3,0.0
CL,Campo Limpo,22,3,0.0
CS,Capela do Socorro,22,3,0.0
IP,Ipiranga,22,3,0.0
JA,Jabaquara,22,3,0.0
SA,Santo Amaro,22,3,0.0
VM,Vila Mariana,22,3,0.0
PA,Parelheiros ,22,3,0.0
AD,Cidade Ademar,22,3,0.0
MB,M Boi Mirim,23,3,0.0
CL,Campo Limpo,23,3,0.0
CS,Capela do Socorro,23,3,0.0
IP,Ipiranga,23,3,0.0
JA,Jabaquara,23,3,0.0
SA,Santo Amaro,23,3,0.0
VM,Vila Mariana,23,3,0.0
PA,Parelheiros ,23,3,0.0
AD,Cidade Ademar,23,3,0.0
MB,M Boi Mirim,24,3,0.0
CL,Campo Limpo,24,3,0.0
CS,Capela do Socorro,24,3,0.0
IP,Ipiranga,24,3,0.0
JA,Jabaquara,24,3,0.0
SA,Santo Amaro,24,3,0.0
VM,Vila Mariana,24,3,0.0
PA,Parelheiros ,24,3,0.0
AD,Cidade Ademar,24,3,0.0
MB,M Boi Mirim,25,3,0.0
CL,Campo Limpo,25,3,0.0
CS,Capela do Socorro,25,3,0.0
IP,Ipiranga,25,3,0.0
JA,Jabaquara,25,3,0.0
SA,Santo Amaro,25,3,0.0
VM,Vila Mariana,25,3,0.0
PA,Parelheiros ,25,3,0.0
AD,Cidade Ademar,25,3,0.0
MB,M Boi Mirim,26,3,0.7
CL,Campo Limpo,26,3,0.6
CS,Capela do Socorro,26,3,2.1
IP,Ipiranga,26,3,3.2
JA,Jabaquara,26,3,3.0
SA,Santo Amaro,26,3,0.9
VM,Vila Mariana,26,3,3.2
PA,Parelheiros ,26,3,3.3
AD,Cidade Ademar,26,3,2.5
MB,M Boi Mirim,27,3,3.9
CL,Campo Limpo,27,3,7.399999999999999
CS,Capela do Socorro,27,3,5.0
IP,Ipiranga,27,3,16.700000000000003
JA,Jabaquara,27,3,17.0
SA,Santo Amaro,27,3,11.8
VM,Vila Mariana,27,3,13.8
PA,Parelheiros ,27,3,2.8
AD,Cidade Ademar,27,3,13.6
MB,M Boi Mirim,28,3,0.0
CL,Campo Limpo,28,3,0.0
CS,Capela do Socorro,28,3,0.0
IP,Ipiranga,28,3,0.0
JA,Jabaquara,28,3,0.0
SA,Santo Amaro,28,3,0.0
VM,Vila Mariana,28,3,0.0
PA,Parelheiros ,28,3,0.0
AD,Cidade Ademar,28,3,0.0
MB,M Boi Mirim,29,3,4.5
CL,Campo Limpo,29,3,1.8
CS,Capela do Socorro,29,3,6.0
IP,Ipiranga,29,3,0.4
JA,Jabaquara,29,3,0.0
SA,Santo Amaro,29,3,1.2
VM,Vila Mariana,29,3,0.8
PA,Parelheiros ,29,3,2.4
AD,Cidade Ademar,29,3,0.7
MB,M Boi Mirim,30,3,0.0
CL,Campo Limpo,30,3,0.0
CS,Capela do Socorro,30,3,0.3
IP,Ipiranga,30,3,0.0
JA,Jabaquara,30,3,0.0
SA,Santo Amaro,30,3,0.0
VM,Vila Mariana,30,3,0.0
PA,Parelheiros ,30,3,1.5
AD,Cidade Ademar,30,3,0.0
MB,M Boi Mirim,31,3,16.7
CL,Campo Limpo,31,3,17.6
CS,Capela do Socorro,31,3,20.7
IP,Ipiranga,31,3,12.6
JA,Jabaquara,31,3,12.6
SA,Santo Amaro,31,3,15.4
VM,Vila Mariana,31,3,12.9
PA,Parelheiros ,31,3,5.1
AD,Cidade Ademar,31,3,23.4
MB,M Boi Mirim,1,4,0.1
CL,Campo Limpo,1,4,0.2
CS,Capela do Socorro,1,4,0.8999999999999999
IP,Ipiranga,1,4,0.1
JA,Jabaquara,1,4,0.2
SA,Santo Amaro,1,4,0.0
VM,Vila Mariana,1,4,0.0
PA,Parelheiros ,1,4,20.0
AD,Cidade Ademar,1,4,0.1
MB,M Boi Mirim,2,4,0.1
CL,Campo Limpo,2,4,0.1
CS,Capela do Socorro,2,4,0.2
IP,Ipiranga,2,4,0.0
JA,Jabaquara,2,4,0.1
SA,Santo Amaro,2,4,0.2
VM,Vila Mariana,2,4,0.0
PA,Parelheiros ,2,4,0.6000000000000001
AD,Cidade Ademar,2,4,0.2
MB,M Boi Mirim,3,4,0.0
CL,Campo Limpo,3,4,0.0
CS,Capela do Socorro,3,4,0.0
IP,Ipiranga,3,4,0.0
JA,Jabaquara,3,4,0.0
SA,Santo Amaro,3,4,0.0
VM,Vila Mariana,3,4,0.0
PA,Parelheiros ,3,4,0.0
AD,Cidade Ademar,3,4,0.0
MB,M Boi Mirim,4,4,0.0
CL,Campo Limpo,4,4,0.0
CS,Capela do Socorro,4,4,0.0
IP,Ipiranga,4,4,0.0
JA,Jabaquara,4,4,0.0
SA,Santo Amaro,4,4,0.0
VM,Vila Mariana,4,4,0.0
PA,Parelheiros ,4,4,0.0
AD,Cidade Ademar,4,4,0.0
MB,M Boi Mirim,5,4,0.0
CL,Campo Limpo,5,4,0.0
CS,Capela do Socorro,5,4,0.0
IP,Ipiranga,5,4,0.0
JA,Jabaquara,5,4,0.0
SA,Santo Amaro,5,4,0.0
VM,Vila Mariana,5,4,0.0
PA,Parelheiros ,5,4,0.0
AD,Cidade Ademar,5,4,0.0
MB,M Boi Mirim,6,4,0.0
CL,Campo Limpo,6,4,0.0
CS,Capela do Socorro,6,4,0.0
IP,Ipiranga,6,4,0.0
JA,Jabaquara,6,4,0.0
SA,Santo Amaro,6,4,0.0
VM,Vila Mariana,6,4,0.0
PA,Parelheiros ,6,4,0.0
AD,Cidade Ademar,6,4,0.0
MB,M Boi Mirim,7,4,7.5
CL,Campo Limpo,7,4,9.6
CS,Capela do Socorro,7,4,11.9
IP,Ipiranga,7,4,9.1
JA,Jabaquara,7,4,9.9
SA,Santo Amaro,7,4,10.8
VM,Vila Mariana,7,4,8.1
PA,Parelheiros ,7,4,14.8
AD,Cidade Ademar,7,4,12.7
MB,M Boi Mirim,8,4,1.0
CL,Campo Limpo,8,4,0.5
CS,Capela do Socorro,8,4,3.2
IP,Ipiranga,8,4,0.7
JA,Jabaquara,8,4,0.4
SA,Santo Amaro,8,4,0.1
VM,Vila Mariana,8,4,0.6
PA,Parelheiros ,8,4,10.1
AD,Cidade Ademar,8,4,0.5
MB,M Boi Mirim,9,4,0.3
CL,Campo Limpo,9,4,0.2
CS,Capela do Socorro,9,4,1.4
IP,Ipiranga,9,4,0.0
JA,Jabaquara,9,4,0.1
SA,Santo Amaro,9,4,0.0
VM,Vila Mariana,9,4,0.0
PA,Parelheiros ,9,4,1.6
AD,Cidade Ademar,9,4,0.2
MB,M Boi Mirim,10,4,0.0
CL,Campo Limpo,10,4,0.0
CS,Capela do Socorro,10,4,0.0
IP,Ipiranga,10,4,0.0
JA,Jabaquara,10,4,0.0
SA,Santo Amaro,10,4,0.0
VM,Vila Mariana,10,4,0.0
PA,Parelheiros ,10,4,0.0
AD,Cidade Ademar,10,4,0.0
MB,M Boi Mirim,11,4,0.0
CL,Campo Limpo,11,4,0.0
CS,Capela do Socorro,11,4,0.0
IP,Ipiranga,11,4,0.0
JA,Jabaquara,11,4,0.0
SA,Santo Amaro,11,4,0.0
VM,Vila Mariana,11,4,0.0
PA,Parelheiros ,11,4,0.0
AD,Cidade Ademar,11,4,0.0
MB,M Boi Mirim,12,4,0.3
CL,Campo Limpo,12,4,0.4
CS,Capela do Socorro,12,4,0.4
IP,Ipiranga,12,4,0.1
JA,Jabaquara,12,4,0.1
SA,Santo Amaro,12,4,0.0
VM,Vila Mariana,12,4,0.4
PA,Parelheiros ,12,4,6.0
AD,Cidade Ademar,12,4,0.3
MB,M Boi Mirim,13,4,0.2
CL,Campo Limpo,13,4,0.4
CS,Capela do Socorro,13,4,0.3
IP,Ipiranga,13,4,0.7
JA,Jabaquara,13,4,0.3
SA,Santo Amaro,13,4,0.7
VM,Vila Mariana,13,4,1.6
PA,Parelheiros ,13,4,0.2
AD,Cidade Ademar,13,4,0.2
MB,M Boi Mirim,14,4,11.2
CL,Campo Limpo,14,4,14.2
CS,Capela do Socorro,14,4,13.4
IP,Ipiranga,14,4,10.7
JA,Jabaquara,14,4,12.0
SA,Santo Amaro,14,4,12.7
VM,Vila Mariana,14,4,12.2
PA,Parelheiros ,14,4,14.8
AD,Cidade Ademar,14,4,14.7
MB,M Boi Mirim,15,4,1.1
CL,Campo Limpo,15,4,1.4
CS,Capela do Socorro,15,4,3.8
IP,Ipiranga,15,4,4.2
JA,Jabaquara,15,4,3.3
SA,Santo Amaro,15,4,1.7999999999999998
VM,Vila Mariana,15,4,2.8000000000000003
PA,Parelheiros ,15,4,10.2
AD,Cidade Ademar,15,4,4.4
MB,M Boi Mirim,16,4,0.0
CL,Campo Limpo,16,4,0.0
CS,Capela do Socorro,16,4,0.0
IP,Ipiranga,16,4,0.0
JA,Jabaquara,16,4,0.0
SA,Santo Amaro,16,4,0.0
VM,Vila Mariana,16,4,0.0
PA,Parelheiros ,16,4,0.0
AD,Cidade Ademar,16,4,0.0
MB,M Boi Mirim,17,4,1.5
CL,Campo Limpo,17,4,1.8
CS,Capela do Socorro,17,4,2.4
IP,Ipiranga,17,4,2.4
JA,Jabaquara,17,4,2.2
SA,Santo Amaro,17,4,1.7
VM,Vila Mariana,17,4,2.2
PA,Parelheiros ,17,4,1.3
AD,Cidade Ademar,17,4,2.2
MB,M Boi Mirim,18,4,32.400000000000006
CL,Campo Limpo,18,4,39.5
CS,Capela do Socorro,18,4,47.2
IP,Ipiranga,18,4,35.099999999999994
JA,Jabaquara,18,4,41.400000000000006
SA,Santo Amaro,18,4,43.3
VM,Vila Mariana,18,4,39.900000000000006
PA,Parelheiros ,18,4,35.2
AD,Cidade Ademar,18,4,49.400000000000006
MB,M Boi Mirim,19,4,1.2
CL,Campo Limpo,19,4,1.7
CS,Capela do Socorro,19,4,0.6
IP,Ipiranga,19,4,0.7
JA,Jabaquara,19,4,0.6
SA,Santo Amaro,19,4,0.6
VM,Vila Mariana,19,4,1.0
PA,Parelheiros ,19,4,0.1
AD,Cidade Ademar,19,4,0.7
MB,M Boi Mirim,20,4,0.0
CL,Campo Limpo,20,4,0.0
CS,Capela do Socorro,20,4,0.0
IP,Ipiranga,20,4,0.0
JA,Jabaquara,20,4,0.0
SA,Santo Amaro,20,4,0.0
VM,Vila Mariana,20,4,0.0
PA,Parelheiros ,20,4,0.0
AD,Cidade Ademar,20,4,0.0
MB,M Boi Mirim,21,4,0.0
CL,Campo Limpo,21,4,0.0
CS,Capela do Socorro,21,4,0.0
IP,Ipiranga,21,4,0.0
JA,Jabaquara,21,4,0.0
SA,Santo Amaro,21,4,0.0
VM,Vila Mariana,21,4,0.0
PA,Parelheiros ,21,4,0.0
AD,Cidade Ademar,21,4,0.0
MB,M Boi Mirim,22,4,0.0
CL,Campo Limpo,22,4,0.0
CS,Capela do Socorro,22,4,0.0
IP,Ipiranga,22,4,0.0
JA,Jabaquara,22,4,0.0
SA,Santo Amaro,22,4,0.0
VM,Vila Mariana,22,4,0.0
PA,Parelheiros ,22,4,0.0
AD,Cidade Ademar,22,4,0.0
MB,M Boi Mirim,23,4,0.0
CL,Campo Limpo,23,4,0.0
CS,Capela do Socorro,23,4,0.0
IP,Ipiranga,23,4,0.0
JA,Jabaquara,23,4,0.0
SA,Santo Amaro,23,4,0.0
VM,Vila Mariana,23,4,0.0
PA,Parelheiros ,23,4,0.0
AD,Cidade Ademar,23,4,0.0
MB,M Boi Mirim,24,4,0.0
CL,Campo Limpo,24,4,0.0
CS,Capela do Socorro,24,4,0.0
IP,Ipiranga,24,4,0.0
JA,Jabaquara,24,4,0.0
SA,Santo Amaro,24,4,0.0
VM,Vila Mariana,24,4,0.0
PA,Parelheiros ,24,4,0.0
AD,Cidade Ademar,24,4,0.0
MB,M Boi Mirim,25,4,0.0
CL,Campo Limpo,25,4,0.0
CS,Capela do Socorro,25,4,0.0
IP,Ipiranga,25,4,0.0
JA,Jabaquara,25,4,0.0
SA,Santo Amaro,25,4,0.0
VM,Vila Mariana,25,4,0.0
PA,Parelheiros ,25,4,0.0
AD,Cidade Ademar,25,4,0.0
MB,M Boi Mirim,26,4,0.3
CL,Campo Limpo,26,4,0.1
CS,Capela do Socorro,26,4,0.2
IP,Ipiranga,26,4,0.4
JA,Jabaquara,26,4,0.2
SA,Santo Amaro,26,4,0.1
VM,Vila Mariana,26,4,0.2
PA,Parelheiros ,26,4,0.5
AD,Cidade Ademar,26,4,0.1
MB,M Boi Mirim,27,4,4.6
CL,Campo Limpo,27,4,3.3000000000000003
CS,Capela do Socorro,27,4,2.5
IP,Ipiranga,27,4,1.4
JA,Jabaquara,27,4,1.4
SA,Santo Amaro,27,4,2.2
VM,Vila Mariana,27,4,1.7
PA,Parelheiros ,27,4,2.9
AD,Cidade Ademar,27,4,2.1
MB,M Boi Mirim,28,4,1.2000000000000002
CL,Campo Limpo,28,4,1.1
CS,Capela do Socorro,28,4,0.5
IP,Ipiranga,28,4,0.8999999999999999
JA,Jabaquara,28,4,0.7
SA,Santo Amaro,28,4,0.7
VM,Vila Mariana,28,4,0.8
PA,Parelheiros ,28,4,1.8
AD,Cidade Ademar,28,4,0.6
MB,M Boi Mirim,29,4,0.8
CL,Campo Limpo,29,4,1.4
CS,Capela do Socorro,29,4,0.4
IP,Ipiranga,29,4,0.8
JA,Jabaquara,29,4,1.4
SA,Santo Amaro,29,4,1.1
VM,Vila Mariana,29,4,0.6
PA,Parelheiros ,29,4,2.4
AD,Cidade Ademar,29,4,1.0
MB,M Boi Mirim,30,4,0.0
CL,Campo Limpo,30,4,0.0
CS,Capela do Socorro,30,4,0.0
IP,Ipiranga,30,4,0.0
JA,Jabaquara,30,4,0.0
SA,Santo Amaro,30,4,0.0
VM,Vila Mariana,30,4,0.0
PA,Parelheiros ,30,4,0.0
AD,Cidade Ademar,30,4,0.0
MB,M Boi Mirim,1,5,1.0
CL,Campo Limpo,1,5,0.2
CS,Capela do Socorro,1,5,0.0
IP,Ipiranga,1,5,0.0
JA,Jabaquara,1,5,0.0
SA,Santo Amaro,1,5,0.0
VM,Vila Mariana,1,5,0.0
PA,Parelheiros ,1,5,0.1
AD,Cidade Ademar,1,5,0.0
MB,M Boi Mirim,2,5,0.2
CL,Campo Limpo,2,5,1.8
CS,Capela do Socorro,2,5,0.2
IP,Ipiranga,2,5,0.0
JA,Jabaquara,2,5,0.0
SA,Santo Amaro,2,5,0.1
VM,Vila Mariana,2,5,0.1
PA,Parelheiros ,2,5,0.2
AD,Cidade Ademar,2,5,0.0
MB,M Boi Mirim,3,5,0.0
CL,Campo Limpo,3,5,0.0
CS,Capela do Socorro,3,5,0.0
IP,Ipiranga,3,5,0.0
JA,Jabaquara,3,5,0.0
SA,Santo Amaro,3,5,0.0
VM,Vila Mariana,3,5,0.0
PA,Parelheiros ,3,5,0.0
AD,Cidade Ademar,3,5,0.0
MB,M Boi Mirim,4,5,0.0
CL,Campo Limpo,4,5,0.0
CS,Capela do Socorro,4,5,0.0
IP,Ipiranga,4,5,0.0
JA,Jabaquara,4,5,0.0
SA,Santo Amaro,4,5,0.0
VM,Vila Mariana,4,5,0.0
PA,Parelheiros ,4,5,0.0
AD,Cidade Ademar,4,5,0.0
MB,M Boi Mirim,5,5,0.0
CL,Campo Limpo,5,5,0.0
CS,Capela do Socorro,5,5,0.0
IP,Ipiranga,5,5,0.0
JA,Jabaquara,5,5,0.0
SA,Santo Amaro,5,5,0.0
VM,Vila Mariana,5,5,0.0
PA,Parelheiros ,5,5,0.0
AD,Cidade Ademar,5,5,0.0
MB,M Boi Mirim,6,5,0.0
CL,Campo Limpo,6,5,0.0
CS,Capela do Socorro,6,5,0.0
IP,Ipiranga,6,5,0.0
JA,Jabaquara,6,5,0.0
SA,Santo Amaro,6,5,0.0
VM,Vila Mariana,6,5,0.0
PA,Parelheiros ,6,5,0.0
AD,Cidade Ademar,6,5,0.0
MB,M Boi Mirim,7,5,0.0
CL,Campo Limpo,7,5,0.0
CS,Capela do Socorro,7,5,0.0
IP,Ipiranga,7,5,0.0
JA,Jabaquara,7,5,0.0
SA,Santo Amaro,7,5,0.0
VM,Vila Mariana,7,5,0.0
PA,Parelheiros ,7,5,0.0
AD,Cidade Ademar,7,5,0.0
MB,M Boi Mirim,8,5,0.0
CL,Campo Limpo,8,5,0.0
CS,Capela do Socorro,8,5,0.0
IP,Ipiranga,8,5,0.0
JA,Jabaquara,8,5,0.0
SA,Santo Amaro,8,5,0.0
VM,Vila Mariana,8,5,0.0
PA,Parelheiros ,8,5,0.0
AD,Cidade Ademar,8,5,0.0
MB,M Boi Mirim,9,5,1.2
CL,Campo Limpo,9,5,0.7
CS,Capela do Socorro,9,5,3.0
IP,Ipiranga,9,5,0.1
JA,Jabaquara,9,5,0.5
SA,Santo Amaro,9,5,1.0
VM,Vila Mariana,9,5,0.0
PA,Parelheiros ,9,5,14.4
AD,Cidade Ademar,9,5,2.1
MB,M Boi Mirim,10,5,1.3
CL,Campo Limpo,10,5,2.1
CS,Capela do Socorro,10,5,0.7999999999999999
IP,Ipiranga,10,5,9.3
JA,Jabaquara,10,5,2.7
SA,Santo Amaro,10,5,1.6
VM,Vila Mariana,10,5,8.0
PA,Parelheiros ,10,5,7.6
AD,Cidade Ademar,10,5,1.7
MB,M Boi Mirim,11,5,0.0
CL,Campo Limpo,11,5,0.0
CS,Capela do Socorro,11,5,0.0
IP,Ipiranga,11,5,0.0
JA,Jabaquara,11,5,0.0
SA,Santo Amaro,11,5,0.0
VM,Vila Mariana,11,5,0.0
PA,Parelheiros ,11,5,0.0
AD,Cidade Ademar,11,5,0.0
MB,M Boi Mirim,12,5,0.1
CL,Campo Limpo,12,5,0.0
CS,Capela do Socorro,12,5,0.5
IP,Ipiranga,12,5,0.6
JA,Jabaquara,12,5,0.5
SA,Santo Amaro,12,5,0.0
VM,Vila Mariana,12,5,0.1
PA,Parelheiros ,12,5,3.3
AD,Cidade Ademar,12,5,0.6
MB,M Boi Mirim,13,5,0.1
CL,Campo Limpo,13,5,0.0
CS,Capela do Socorro,13,5,0.1
IP,Ipiranga,13,5,0.3
JA,Jabaquara,13,5,0.3
SA,Santo Amaro,13,5,0.0
VM,Vila Mariana,13,5,0.2
PA,Parelheiros ,13,5,1.1
AD,Cidade Ademar,13,5,0.4
MB,M Boi Mirim,14,5,0.0
CL,Campo Limpo,14,5,0.0
CS,Capela do Socorro,14,5,0.0
IP,Ipiranga,14,5,0.0
JA,Jabaquara,14,5,0.0
SA,Santo Amaro,14,5,0.0
VM,Vila Mariana,14,5,0.0
PA,Parelheiros ,14,5,0.0
AD,Cidade Ademar,14,5,0.0
MB,M Boi Mirim,15,5,0.0
CL,Campo Limpo,15,5,0.0
CS,Capela do Socorro,15,5,0.0
IP,Ipiranga,15,5,0.0
JA,Jabaquara,15,5,0.0
SA,Santo Amaro,15,5,0.0
VM,Vila Mariana,15,5,0.0
PA,Parelheiros ,15,5,0.0
AD,Cidade Ademar,15,5,0.0
MB,M Boi Mirim,16,5,0.0
CL,Campo Limpo,16,5,0.0
CS,Capela do Socorro,16,5,0.0
IP,Ipiranga,16,5,0.0
JA,Jabaquara,16,5,0.0
SA,Santo Amaro,16,5,0.0
VM,Vila Mariana,16,5,0.0
PA,Parelheiros ,16,5,0.0
AD,Cidade Ademar,16,5,0.0
MB,M Boi Mirim,17,5,0.0
CL,Campo Limpo,17,5,0.0
CS,Capela do Socorro,17,5,0.0
IP,Ipiranga,17,5,0.0
JA,Jabaquara,17,5,0.0
SA,Santo Amaro,17,5,0.0
VM,Vila Mariana,17,5,0.0
PA,Parelheiros ,17,5,0.0
AD,Cidade Ademar,17,5,0.0
MB,M Boi Mirim,18,5,0.0
CL,Campo Limpo,18,5,0.0
CS,Capela do Socorro,18,5,0.0
IP,Ipiranga,18,5,0.0
JA,Jabaquara,18,5,0.0
SA,Santo Amaro,18,5,0.0
VM,Vila Mariana,18,5,0.0
PA,Parelheiros ,18,5,0.0
AD,Cidade Ademar,18,5,0.0
MB,M Boi Mirim,19,5,0.0
CL,Campo Limpo,19,5,0.0
CS,Capela do Socorro,19,5,0.0
IP,Ipiranga,19,5,0.0
JA,Jabaquara,19,5,0.0
SA,Santo Amaro,19,5,0.0
VM,Vila Mariana,19,5,0.0
PA,Parelheiros ,19,5,0.0
AD,Cidade Ademar,19,5,0.0
MB,M Boi Mirim,20,5,0.0
CL,Campo Limpo,20,5,0.0
CS,Capela do Socorro,20,5,0.0
IP,Ipiranga,20,5,0.0
JA,Jabaquara,20,5,0.0
SA,Santo Amaro,20,5,0.0
VM,Vila Mariana,20,5,0.0
PA,Parelheiros ,20,5,0.0
AD,Cidade Ademar,20,5,0.0
MB,M Boi Mirim,21,5,0.0
CL,Campo Limpo,21,5,0.0
CS,Capela do Socorro,21,5,0.0
IP,Ipiranga,21,5,0.0
JA,Jabaquara,21,5,0.0
SA,Santo Amaro,21,5,0.0
VM,Vila Mariana,21,5,0.0
PA,Parelheiros ,21,5,0.0
AD,Cidade Ademar,21,5,0.0
MB,M Boi Mirim,22,5,0.0
CL,Campo Limpo,22,5,0.0
CS,Capela do Socorro,22,5,0.0
IP,Ipiranga,22,5,0.0
JA,Jabaquara,22,5,0.0
SA,Santo Amaro,22,5,0.0
VM,Vila Mariana,22,5,0.0
PA,Parelheiros ,22,5,0.0
AD,Cidade Ademar,22,5,0.0
MB,M Boi Mirim,23,5,0.0
CL,Campo Limpo,23,5,0.0
CS,Capela do Socorro,23,5,0.0
IP,Ipiranga,23,5,0.0
JA,Jabaquara,23,5,0.0
SA,Santo Amaro,23,5,0.0
VM,Vila Mariana,23,5,0.0
PA,Parelheiros ,23,5,0.0
AD,Cidade Ademar,23,5,0.0
MB,M Boi Mirim,24,5,0.0
CL,Campo Limpo,24,5,0.0
CS,Capela do Socorro,24,5,0.0
IP,Ipiranga,24,5,0.0
JA,Jabaquara,24,5,0.0
SA,Santo Amaro,24,5,0.0
VM,Vila Mariana,24,5,0.0
PA,Parelheiros ,24,5,0.0
AD,Cidade Ademar,24,5,0.0
MB,M Boi Mirim,25,5,0.0
CL,Campo Limpo,25,5,0.0
CS,Capela do Socorro,25,5,0.0
IP,Ipiranga,25,5,0.0
JA,Jabaquara,25,5,0.0
SA,Santo Amaro,25,5,0.0
VM,Vila Mariana,25,5,0.0
PA,Parelheiros ,25,5,0.0
AD,Cidade Ademar,25,5,0.0
MB,M Boi Mirim,26,5,0.0
CL,Campo Limpo,26,5,0.0
CS,Capela do Socorro,26,5,0.0
IP,Ipiranga,26,5,0.0
JA,Jabaquara,26,5,0.0
SA,Santo Amaro,26,5,0.0
VM,Vila Mariana,26,5,0.0
PA,Parelheiros ,26,5,0.0
